"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
130,154,75,146,105,165,84,71,74,137,33,145,49,179
181,47,169,24,123,129,77,188,102,110,43,205,133,155
83,138,7,NA,136,NA,29,17,104,2,152,113,53,166
48,175,161,NA,56,NA,4,100,22,202,73,151,NA,156
27,106,103,NA,119,NA,117,13,211,30,58,135,NA,207
41,206,14,NA,189,NA,60,114,209,NA,87,NA,NA,NA
10,112,NA,NA,NA,NA,139,11,183,NA,99,NA,NA,NA
208,128,NA,NA,NA,NA,159,54,193,NA,1,NA,NA,NA
91,NA,NA,NA,NA,NA,160,NA,131,NA,185,NA,NA,NA
180,NA,NA,NA,NA,NA,96,NA,46,NA,21,NA,NA,NA
81,NA,NA,NA,NA,NA,118,NA,63,NA,37,NA,NA,NA
111,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA
