"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
10,72,127,129,69,106,25,59,156,133,128,45,152,68
29,26,82,131,21,194,85,201,31,8,197,2,130,47
188,159,32,87,126,149,83,122,86,107,211,163,180,11
27,101,89,28,22,113,187,61,94,144,136,118,NA,124
115,171,NA,NA,NA,NA,88,142,51,147,140,158,NA,70
49,190,NA,NA,NA,NA,60,179,125,151,146,121,NA,NA
164,67,NA,NA,NA,NA,96,71,33,42,192,4,NA,NA
209,53,NA,NA,NA,NA,186,177,111,145,148,170,NA,NA
119,137,NA,NA,NA,NA,14,90,NA,NA,NA,NA,NA,NA
150,12,NA,NA,NA,NA,184,50,NA,NA,NA,NA,NA,NA
95,43,NA,NA,NA,NA,75,48,NA,NA,NA,NA,NA,NA
NA,205,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA
NA,167,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
