"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
75,161,91,133,174,141,69,99,152,78,108,88,89,125
31,189,82,24,124,169,144,127,68,145,134,64,148,80
23,30,210,NA,27,NA,14,51,184,58,19,147,28,101
38,43,34,NA,41,NA,202,115,154,183,122,39,NA,74
73,129,178,NA,95,NA,206,203,182,107,15,151,NA,155
54,167,194,NA,17,NA,128,40,11,NA,208,NA,NA,NA
10,165,NA,NA,NA,NA,36,197,172,NA,204,NA,NA,NA
158,109,NA,NA,NA,NA,106,105,79,NA,160,NA,NA,NA
1,NA,NA,NA,NA,NA,200,NA,192,NA,22,NA,NA,NA
186,NA,NA,NA,NA,NA,4,NA,59,NA,102,NA,NA,NA
71,NA,NA,NA,NA,NA,87,NA,170,NA,138,NA,NA,NA
56,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA
