"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
174,194,123,81,94,80,47,115,148,51,180,142,35,119
113,110,128,158,86,184,179,50,25,105,43,150,185,52
104,199,87,NA,170,NA,31,136,152,93,116,151,163,178
73,106,203,NA,27,NA,17,210,21,186,157,77,NA,88
137,169,42,NA,1,NA,125,65,60,162,127,204,NA,133
117,191,173,NA,124,NA,197,175,70,NA,147,NA,NA,NA
181,161,NA,NA,NA,NA,107,198,202,NA,103,NA,NA,NA
75,112,NA,NA,NA,NA,66,211,114,NA,172,NA,NA,NA
183,NA,NA,NA,NA,NA,63,NA,187,NA,140,NA,NA,NA
89,NA,NA,NA,NA,NA,164,NA,13,NA,3,NA,NA,NA
24,NA,NA,NA,NA,NA,189,NA,53,NA,36,NA,NA,NA
109,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
200,NA,NA,NA,NA,NA,201,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA
