"ï..record_id","item","value"
"SCN_141","socrew1","4"
"SCN_141","socrew2","1"
"SCN_141","socrew3","1"
"SCN_141","socrew4","2"
"SCN_141","socrew5","2"
"SCN_141","socrew6","4"
"SCN_141","socrew7","4"
"SCN_141","socrew8","4"
"SCN_141","socrew9","2"
"SCN_141","socrew10","2"
"SCN_141","socrew11","2"
"SCN_141","socrew12","2"
"SCN_141","socrew13","4"
"SCN_141","socrew14","4"
"SCN_141","socrew15","5"
"SCN_141","socrew16","4"
"SCN_141","socrew17","5"
"SCN_141","socrew18","1"
"SCN_141","socrew19","4"
"SCN_141","socrew20","5"
"SCN_141","socrew21","5"
"SCN_141","socrew22","5"
"SCN_141","socrew23","4"
"SCN_141","socrew24","5"
"SCN_141","socrew25","2"
"SCN_141","socrew26","4"
"SCN_141","socrew27","4"
"SCN_141","socrew28","5"
"SCN_141","socrew29","2"
"SCN_141","socrew30","2"
"SCN_141","socrew31","4"
"SCN_141","socrew32","4"
"SCN_141","socrew33","2"
"SCN_141","socrew34","1"
"SCN_141","socrew35","4"
"SCN_141","socrew36","4"
"SCN_141","socrew37","5"
"SCN_141","socrew38","2"
"SCN_141","socrew39","2"
"SCN_141","socrew40","2"
"SCN_141","socrew41","1"
"SCN_141","socrew42","2"
"SCN_141","socrew43","2"
"SCN_141","socrew44","5"
"SCN_141","socrew45","2"
"SCN_141","socrew46","2"
"SCN_141","socrew47","4"
"SCN_141","socrew48","4"
"SCN_141","socrew49","2"
"SCN_141","socrew50","5"
"SCN_141","socrew51","5"
"SCN_141","socrew52","4"
"SCN_141","socrew53","2"
"SCN_141","socrew54","5"
"SCN_141","socrew55","2"
"SCN_141","socrew56","1"
"SCN_141","socrew57","1"
"SCN_141","socrew58","1"
"SCN_141","socrew59","4"
"SCN_141","socrew60","1"
"SCN_141","socrew61","5"
"SCN_141","socrew62","5"
"SCN_141","socrew63","5"
"SCN_141","socrew64","4"
"SCN_141","socrew65","2"
"SCN_141","socrew66","1"
"SCN_141","socrew67","4"
"SCN_141","socrew68","1"
"SCN_141","socrew69","4"
"SCN_141","socrew70","1"
"SCN_141","socrew71","5"
"SCN_141","socrew72","2"
"SCN_141","socrew73","5"
"SCN_141","socrew74","2"
"SCN_141","socrew75","2"
"SCN_141","socrew76","2"
"SCN_141","socrew77","4"
"SCN_141","socrew78","4"
"SCN_141","socrew79","5"
"SCN_141","socrew80","1"
"SCN_141","socrew81","4"
"SCN_141","socrew82","1"
