"record_id","item","value"
"SCN_169","socrew1",5
"SCN_169","socrew2",4
"SCN_169","socrew3",1
"SCN_169","socrew4",2
"SCN_169","socrew5",1
"SCN_169","socrew6",4
"SCN_169","socrew7",1
"SCN_169","socrew8",1
"SCN_169","socrew9",1
"SCN_169","socrew10",2
"SCN_169","socrew11",1
"SCN_169","socrew12",1
"SCN_169","socrew13",4
"SCN_169","socrew14",2
"SCN_169","socrew15",5
"SCN_169","socrew16",2
"SCN_169","socrew17",4
"SCN_169","socrew18",5
"SCN_169","socrew19",2
"SCN_169","socrew20",4
"SCN_169","socrew21",5
"SCN_169","socrew22",4
"SCN_169","socrew23",4
"SCN_169","socrew24",2
"SCN_169","socrew25",4
"SCN_169","socrew26",4
"SCN_169","socrew27",4
"SCN_169","socrew28",5
"SCN_169","socrew29",2
"SCN_169","socrew30",4
"SCN_169","socrew31",5
"SCN_169","socrew32",5
"SCN_169","socrew33",4
"SCN_169","socrew34",4
"SCN_169","socrew35",4
"SCN_169","socrew36",2
"SCN_169","socrew37",4
"SCN_169","socrew38",4
"SCN_169","socrew39",2
"SCN_169","socrew40",2
"SCN_169","socrew41",2
"SCN_169","socrew42",4
"SCN_169","socrew43",2
"SCN_169","socrew44",5
"SCN_169","socrew45",5
"SCN_169","socrew46",5
"SCN_169","socrew47",4
"SCN_169","socrew48",4
"SCN_169","socrew49",5
"SCN_169","socrew50",1
"SCN_169","socrew51",2
"SCN_169","socrew52",1
"SCN_169","socrew53",2
"SCN_169","socrew54",5
"SCN_169","socrew55",1
"SCN_169","socrew56",4
"SCN_169","socrew57",1
"SCN_169","socrew58",1
"SCN_169","socrew59",2
"SCN_169","socrew60",1
"SCN_169","socrew61",2
"SCN_169","socrew62",2
"SCN_169","socrew63",5
"SCN_169","socrew64",1
"SCN_169","socrew65",4
"SCN_169","socrew66",4
"SCN_169","socrew67",1
"SCN_169","socrew68",1
"SCN_169","socrew69",4
"SCN_169","socrew70",2
"SCN_169","socrew71",4
"SCN_169","socrew72",2
"SCN_169","socrew73",5
"SCN_169","socrew74",2
"SCN_169","socrew75",2
"SCN_169","socrew76",1
"SCN_169","socrew77",4
"SCN_169","socrew78",4
"SCN_169","socrew79",4
"SCN_169","socrew80",1
"SCN_169","socrew81",4
"SCN_169","socrew82",4
"SCN_169","socrew83",4
"SCN_169","socrew84",2
"SCN_169","socrew85",4
"SCN_169","socrew86",4
"SCN_169","socrew87",2
"SCN_169","socrew88",1
"SCN_169","socrew89",4
"SCN_169","socrew90",1
"SCN_169","socrew91",2
"SCN_169","socrew92",5
"SCN_169","socrew93",1
"SCN_169","socrew94",4
"SCN_169","socrew95",1
"SCN_169","socrew96",4
"SCN_169","socrew97",2
"SCN_169","socrew98",1
"SCN_169","socrew99",4
"SCN_169","socrew100",2
"SCN_169","socrew101",4
"SCN_169","socrew102",4
"SCN_169","socrew103",1
"SCN_169","socrew104",2
"SCN_169","socrew105",2
"SCN_169","socrew106",1
"SCN_169","socrew107",2
"SCN_169","socrew108",4
"SCN_169","socrew109",2
"SCN_169","socrew110",1
"SCN_169","socrew111",5
"SCN_169","socrew112",4
"SCN_169","socrew113",5
"SCN_169","socrew114",4
"SCN_169","socrew115",2
