record_id,item,value,,
SCN_219,socrew2,2,neg,1
SCN_219,socrew3,4,pos,1
SCN_219,socrew4,2,neg,
SCN_219,socrew5,4,pos,1
SCN_219,socrew6,4,pos,
SCN_219,socrew7,4,pos,
SCN_219,socrew8,4,pos,
SCN_219,socrew9,2,neg,1
SCN_219,socrew10,4,pos,1
SCN_219,socrew11,2,neg,
SCN_219,socrew12,1,neg,
SCN_219,socrew13,4,pos,
SCN_219,socrew14,4,pos,
SCN_219,socrew15,4,pos,
SCN_219,socrew16,4,pos,
SCN_219,socrew17,4,pos,
SCN_219,socrew18,1,neg,1
SCN_219,socrew19,4,pos,
SCN_219,socrew20,4,pos,
SCN_219,socrew21,4,pos,
SCN_219,socrew22,4,pos,
SCN_219,socrew23,4,pos,
SCN_219,socrew24,4,pos,
SCN_219,socrew25,4,pos,
SCN_219,socrew26,4,pos,
SCN_219,socrew27,4,pos,
SCN_219,socrew28,4,pos,
SCN_219,socrew29,4,pos,1
SCN_219,socrew30,2,neg,
SCN_219,socrew31,4,pos,1
SCN_219,socrew32,2,neg,1
SCN_219,socrew33,4,pos,
SCN_219,socrew34,4,pos,
SCN_219,socrew35,4,pos,
SCN_219,socrew36,4,pos,
SCN_219,socrew37,4,pos,
SCN_219,socrew38,4,pos,
SCN_219,socrew39,2,neg,
SCN_219,socrew40,2,neg,
SCN_219,socrew41,2,neg,
SCN_219,socrew42,2,neg,1
SCN_219,socrew43,4,pos,
SCN_219,socrew44,5,pos,
SCN_219,socrew45,1,neg,
SCN_219,socrew46,5,pos,
SCN_219,socrew47,4,pos,
SCN_219,socrew48,4,pos,
SCN_219,socrew49,4,pos,
SCN_219,socrew50,4,pos,
SCN_219,socrew51,4,pos,1
SCN_219,socrew52,2,neg,
SCN_219,socrew53,5,pos,
SCN_219,socrew54,4,pos,
SCN_219,socrew55,5,pos,
SCN_219,socrew56,4,pos,
SCN_219,socrew57,4,pos,
SCN_219,socrew58,4,pos,
SCN_219,socrew59,4,pos,
SCN_219,socrew60,4,pos,1
SCN_219,socrew61,1,neg,
SCN_219,socrew62,4,pos,
SCN_219,socrew63,4,pos,
SCN_219,socrew64,4,pos,1
SCN_219,socrew65,4,pos,
SCN_219,socrew66,4,pos,
SCN_219,socrew67,4,pos,
SCN_219,socrew68,1,neg,
SCN_219,socrew69,4,pos,
SCN_219,socrew70,4,pos,
SCN_219,socrew71,5,pos,1
SCN_219,socrew72,2,neg,
SCN_219,socrew73,4,pos,
SCN_219,socrew74,4,pos,
SCN_219,socrew75,4,pos,
SCN_219,socrew76,2,neg,
SCN_219,socrew77,4,pos,
SCN_219,socrew78,4,pos,
SCN_219,socrew79,4,pos,
SCN_219,socrew80,1,neg,1
SCN_219,socrew81,4,pos,
SCN_219,socrew82,4,pos,
SCN_219,socrew83,4,pos,
SCN_219,socrew84,4,pos,
SCN_219,socrew85,4,pos,
SCN_219,socrew86,4,pos,
SCN_219,socrew87,4,pos,
SCN_219,socrew88,4,pos,
SCN_219,socrew89,4,pos,
SCN_219,socrew90,4,pos,
SCN_219,socrew91,2,neg,
SCN_219,socrew92,1,neg,1
SCN_219,socrew93,4,pos,
SCN_219,socrew94,5,pos,
SCN_219,socrew95,4,pos,1
SCN_219,socrew96,2,neg,
SCN_219,socrew97,4,pos,
SCN_219,socrew98,2,neg,1
SCN_219,socrew99,4,pos,
SCN_219,socrew100,5,pos,
SCN_219,socrew101,4,pos,
SCN_219,socrew102,2,neg,
SCN_219,socrew103,2,neg,1
SCN_219,socrew104,4,pos,
SCN_219,socrew105,4,pos,
SCN_219,socrew106,2,neg,
SCN_219,socrew107,2,neg,
SCN_219,socrew108,4,pos,
SCN_219,socrew109,4,pos,
SCN_219,socrew110,4,pos,1
SCN_219,socrew111,2,neg,1
SCN_219,socrew112,4,pos,
SCN_219,socrew113,2,neg,
SCN_219,socrew114,1,neg,
SCN_219,socrew115,4,pos,
SCN_219,socrew116,4,pos,
SCN_219,socrew117,4,pos,
SCN_219,socrew118,4,pos,
SCN_219,socrew119,4,pos,
SCN_219,socrew120,1,neg,
SCN_219,socrew121,2,neg,1
SCN_219,socrew122,4,pos,
SCN_219,socrew123,4,pos,
SCN_219,socrew124,4,pos,
SCN_219,socrew125,4,pos,
SCN_219,socrew126,4,pos,
SCN_219,socrew127,4,pos,
SCN_219,socrew128,2,neg,
SCN_219,socrew129,2,neg,
SCN_219,socrew130,5,pos,
SCN_219,socrew131,4,pos,1
SCN_219,socrew132,2,neg,1
SCN_219,socrew133,4,pos,
SCN_219,socrew134,4,pos,
SCN_219,socrew135,2,neg,1
SCN_219,socrew136,4,pos,
SCN_219,socrew137,4,pos,
SCN_219,socrew138,4,pos,
SCN_219,socrew139,4,pos,
SCN_219,socrew140,4,pos,
SCN_219,socrew141,5,pos,
SCN_219,socrew142,2,neg,
SCN_219,socrew143,2,neg,1
SCN_219,socrew144,4,pos,
