record_id,item,value
SCN_222,socrew1,4
SCN_222,socrew2,1
SCN_222,socrew3,2
SCN_222,socrew4,2
SCN_222,socrew5,4
SCN_222,socrew6,4
SCN_222,socrew7,2
SCN_222,socrew8,2
SCN_222,socrew9,2
SCN_222,socrew10,5
SCN_222,socrew11,1
SCN_222,socrew12,1
SCN_222,socrew13,1
SCN_222,socrew14,1
SCN_222,socrew15,5
SCN_222,socrew16,4
SCN_222,socrew17,1
SCN_222,socrew18,2
SCN_222,socrew19,2
SCN_222,socrew20,4
SCN_222,socrew21,4
SCN_222,socrew22,4
SCN_222,socrew23,2
SCN_222,socrew24,4
SCN_222,socrew25,2
SCN_222,socrew26,4
SCN_222,socrew27,5
SCN_222,socrew28,4
SCN_222,socrew29,5
SCN_222,socrew30,5
SCN_222,socrew31,5
SCN_222,socrew32,5
SCN_222,socrew33,4
SCN_222,socrew34,2
SCN_222,socrew35,4
SCN_222,socrew36,2
SCN_222,socrew37,4
SCN_222,socrew38,4
SCN_222,socrew39,5
SCN_222,socrew40,2
SCN_222,socrew41,5
SCN_222,socrew42,4
SCN_222,socrew43,2
SCN_222,socrew44,4
SCN_222,socrew45,1
SCN_222,socrew46,4
SCN_222,socrew47,4
SCN_222,socrew48,2
SCN_222,socrew49,5
SCN_222,socrew50,1
SCN_222,socrew51,2
SCN_222,socrew52,1
SCN_222,socrew53,2
SCN_222,socrew54,2
SCN_222,socrew55,2
SCN_222,socrew56,4
SCN_222,socrew57,2
SCN_222,socrew58,2
SCN_222,socrew59,4
SCN_222,socrew60,1
SCN_222,socrew61,2
SCN_222,socrew62,5
SCN_222,socrew63,2
SCN_222,socrew64,4
SCN_222,socrew65,4
SCN_222,socrew66,4
SCN_222,socrew67,4
SCN_222,socrew68,1
SCN_222,socrew69,4
SCN_222,socrew70,4
SCN_222,socrew71,2
SCN_222,socrew72,2
SCN_222,socrew73,4
SCN_222,socrew74,2
SCN_222,socrew75,2
SCN_222,socrew76,2
SCN_222,socrew77,4
SCN_222,socrew78,4
SCN_222,socrew79,2
SCN_222,socrew80,5
SCN_222,socrew81,2
SCN_222,socrew82,4
SCN_222,socrew83,4
SCN_222,socrew84,4
SCN_222,socrew85,4
SCN_222,socrew86,4
SCN_222,socrew87,2
SCN_222,socrew88,2
SCN_222,socrew89,4
SCN_222,socrew90,5
SCN_222,socrew91,4
SCN_222,socrew92,2
SCN_222,socrew93,2
SCN_222,socrew94,5
SCN_222,socrew95,2
SCN_222,socrew96,4
SCN_222,socrew97,4
SCN_222,socrew98,1
SCN_222,socrew99,4
SCN_222,socrew100,4
SCN_222,socrew101,2
SCN_222,socrew102,4
SCN_222,socrew103,4
SCN_222,socrew104,4
SCN_222,socrew105,2
SCN_222,socrew106,2
SCN_222,socrew107,2
SCN_222,socrew108,5
SCN_222,socrew109,4
SCN_222,socrew110,4
SCN_222,socrew111,4
SCN_222,socrew112,2
SCN_222,socrew113,2
SCN_222,socrew114,2
SCN_222,socrew115,4
SCN_222,socrew116,4
SCN_222,socrew117,4
SCN_222,socrew118,4
SCN_222,socrew119,2
SCN_222,socrew120,1
SCN_222,socrew121,2
SCN_222,socrew122,2
SCN_222,socrew123,2
SCN_222,socrew124,4
SCN_222,socrew125,2
SCN_222,socrew126,5
SCN_222,socrew127,5
SCN_222,socrew128,4
SCN_222,socrew129,2
SCN_222,socrew130,4
SCN_222,socrew131,4
SCN_222,socrew132,2
SCN_222,socrew133,4
SCN_222,socrew134,4
SCN_222,socrew135,4
SCN_222,socrew136,4
SCN_222,socrew137,4
SCN_222,socrew138,4
SCN_222,socrew139,2
SCN_222,socrew140,5
SCN_222,socrew141,4
SCN_222,socrew142,1
SCN_222,socrew143,4
SCN_222,socrew144,2
SCN_222,socrew145,2
SCN_222,socrew146,4
SCN_222,socrew147,2
SCN_222,socrew148,5
SCN_222,socrew149,2
SCN_222,socrew150,4
SCN_222,socrew151,2
SCN_222,socrew152,4
SCN_222,socrew153,4
SCN_222,socrew154,4
SCN_222,socrew155,2
SCN_222,socrew156,2
SCN_222,socrew157,4
SCN_222,socrew158,4
SCN_222,socrew159,4
SCN_222,socrew160,2
SCN_222,socrew161,4
SCN_222,socrew162,4
SCN_222,socrew163,4
SCN_222,socrew164,5
SCN_222,socrew165,1
SCN_222,socrew166,2
SCN_222,socrew167,4
SCN_222,socrew168,2
SCN_222,socrew169,2
SCN_222,socrew170,4
SCN_222,socrew171,4
SCN_222,socrew172,2
SCN_222,socrew173,2
SCN_222,socrew174,4
SCN_222,socrew175,2
SCN_222,socrew176,2
SCN_222,socrew177,4
SCN_222,socrew178,2
SCN_222,socrew179,5
SCN_222,socrew180,4
SCN_222,socrew181,4
SCN_222,socrew182,4
SCN_222,socrew183,2
SCN_222,socrew184,4
SCN_222,socrew185,4
SCN_222,socrew186,2
SCN_222,socrew187,4
SCN_222,socrew188,2
SCN_222,socrew189,2
SCN_222,socrew190,1
SCN_222,socrew191,1
SCN_222,socrew192,5
SCN_222,socrew193,5
SCN_222,socrew194,1
SCN_222,socrew195,2
SCN_222,socrew196,4
SCN_222,socrew197,4
SCN_222,socrew198,2
SCN_222,socrew199,4
SCN_222,socrew200,2
SCN_222,socrew201,1
SCN_222,socrew202,2
SCN_222,socrew203,4
SCN_222,socrew204,1
SCN_222,socrew205,4
SCN_222,socrew206,4
SCN_222,socrew207,1
SCN_222,socrew208,4
SCN_222,socrew209,4
SCN_222,socrew210,1
SCN_222,socrew211,5
