"record_id","item","value"
"test_aditi","socrew1",4
"test_aditi","socrew2",2
"test_aditi","socrew3",3
"test_aditi","socrew4",5
"test_aditi","socrew5",5
"test_aditi","socrew6",5
"test_aditi","socrew7",4
"test_aditi","socrew8",3
"test_aditi","socrew9",3
"test_aditi","socrew10",5
"test_aditi","socrew11",2
"test_aditi","socrew12",2
"test_aditi","socrew13",5
"test_aditi","socrew14",4
"test_aditi","socrew15",4
"test_aditi","socrew16",4
"test_aditi","socrew17",3
"test_aditi","socrew18",1
"test_aditi","socrew19",2
"test_aditi","socrew20",5
"test_aditi","socrew21",5
"test_aditi","socrew22",4
"test_aditi","socrew23",5
"test_aditi","socrew24",2
"test_aditi","socrew25",3
"test_aditi","socrew26",4
"test_aditi","socrew27",4
"test_aditi","socrew28",5
"test_aditi","socrew29",5
"test_aditi","socrew30",4
"test_aditi","socrew31",3
"test_aditi","socrew32",5
"test_aditi","socrew33",5
"test_aditi","socrew34",4
"test_aditi","socrew35",4
"test_aditi","socrew36",5
"test_aditi","socrew37",5
"test_aditi","socrew38",4
"test_aditi","socrew39",4
"test_aditi","socrew40",2
"test_aditi","socrew41",5
"test_aditi","socrew42",2
"test_aditi","socrew43",4
"test_aditi","socrew44",1
"test_aditi","socrew45",1
"test_aditi","socrew46",5
"test_aditi","socrew47",2
"test_aditi","socrew48",2
"test_aditi","socrew49",5
"test_aditi","socrew50",5
"test_aditi","socrew51",5
"test_aditi","socrew52",5
"test_aditi","socrew53",5
"test_aditi","socrew54",5
"test_aditi","socrew55",2
"test_aditi","socrew56",4
"test_aditi","socrew57",5
"test_aditi","socrew58",4
"test_aditi","socrew59",3
"test_aditi","socrew60",3
"test_aditi","socrew61",5
"test_aditi","socrew62",1
"test_aditi","socrew63",5
"test_aditi","socrew64",5
"test_aditi","socrew65",5
"test_aditi","socrew66",4
"test_aditi","socrew67",4
"test_aditi","socrew68",3
"test_aditi","socrew69",4
"test_aditi","socrew70",4
"test_aditi","socrew71",5
"test_aditi","socrew72",4
"test_aditi","socrew73",5
"test_aditi","socrew74",4
"test_aditi","socrew75",4
"test_aditi","socrew76",2
"test_aditi","socrew77",4
"test_aditi","socrew78",2
"test_aditi","socrew79",2
"test_aditi","socrew80",2
"test_aditi","socrew81",4
"test_aditi","socrew82",4
"test_aditi","socrew83",4
"test_aditi","socrew84",5
"test_aditi","socrew85",4
"test_aditi","socrew86",5
"test_aditi","socrew87",4
"test_aditi","socrew88",2
"test_aditi","socrew89",4
"test_aditi","socrew90",2
"test_aditi","socrew91",2
"test_aditi","socrew92",2
"test_aditi","socrew93",3
"test_aditi","socrew94",4
"test_aditi","socrew95",5
"test_aditi","socrew96",4
"test_aditi","socrew97",4
"test_aditi","socrew98",2
"test_aditi","socrew99",5
"test_aditi","socrew100",5
"test_aditi","socrew101",4
"test_aditi","socrew102",5
"test_aditi","socrew103",2
"test_aditi","socrew104",2
"test_aditi","socrew105",2
"test_aditi","socrew106",2
"test_aditi","socrew107",1
"test_aditi","socrew108",2
"test_aditi","socrew109",5
