"record_id","item","value"
"testeli","socrew1",4
"testeli","socrew2",4
"testeli","socrew3",2
"testeli","socrew4",4
"testeli","socrew5",2
"testeli","socrew6",4
"testeli","socrew7",2
"testeli","socrew8",4
"testeli","socrew9",2
"testeli","socrew10",5
"testeli","socrew11",4
"testeli","socrew12",2
"testeli","socrew13",2
"testeli","socrew14",5
"testeli","socrew15",4
"testeli","socrew16",4
"testeli","socrew17",5
"testeli","socrew18",2
"testeli","socrew19",5
"testeli","socrew20",4
"testeli","socrew21",4
"testeli","socrew22",4
"testeli","socrew23",4
"testeli","socrew24",2
"testeli","socrew25",2
"testeli","socrew26",4
"testeli","socrew27",5
"testeli","socrew28",4
"testeli","socrew29",4
"testeli","socrew30",2
"testeli","socrew31",4
"testeli","socrew32",1
"testeli","socrew33",4
"testeli","socrew34",4
"testeli","socrew35",1
"testeli","socrew36",5
"testeli","socrew37",4
"testeli","socrew38",4
"testeli","socrew39",2
"testeli","socrew40",1
"testeli","socrew41",4
"testeli","socrew42",1
"testeli","socrew43",2
"testeli","socrew44",2
"testeli","socrew45",2
"testeli","socrew46",4
"testeli","socrew47",1
"testeli","socrew48",4
"testeli","socrew49",2
"testeli","socrew50",4
"testeli","socrew51",2
"testeli","socrew52",4
"testeli","socrew53",2
"testeli","socrew54",4
"testeli","socrew55",2
"testeli","socrew56",4
"testeli","socrew57",5
"testeli","socrew58",1
"testeli","socrew59",5
"testeli","socrew60",1
"testeli","socrew61",1
"testeli","socrew62",5
"testeli","socrew63",2
"testeli","socrew64",4
"testeli","socrew65",2
"testeli","socrew66",4
"testeli","socrew67",2
"testeli","socrew68",4
"testeli","socrew69",5
"testeli","socrew70",1
"testeli","socrew71",5
"testeli","socrew72",1
"testeli","socrew73",5
"testeli","socrew74",2
"testeli","socrew75",4
"testeli","socrew76",2
"testeli","socrew77",4
"testeli","socrew78",2
"testeli","socrew79",4
"testeli","socrew80",2
"testeli","socrew81",1
"testeli","socrew82",5
"testeli","socrew83",4
"testeli","socrew84",2
"testeli","socrew85",4
"testeli","socrew86",2
"testeli","socrew87",4
"testeli","socrew88",2
"testeli","socrew89",4
"testeli","socrew90",2
"testeli","socrew91",4
"testeli","socrew92",2
"testeli","socrew93",4
"testeli","socrew94",2
"testeli","socrew95",4
"testeli","socrew96",2
"testeli","socrew97",4
"testeli","socrew98",2
"testeli","socrew99",1
"testeli","socrew100",5
"testeli","socrew101",2
"testeli","socrew102",4
"testeli","socrew103",2
"testeli","socrew104",4
"testeli","socrew105",2
"testeli","socrew106",4
"testeli","socrew107",2
"testeli","socrew108",4
"testeli","socrew109",1
"testeli","socrew110",5
"testeli","socrew111",1
"testeli","socrew112",5
"testeli","socrew113",1
"testeli","socrew114",5
"testeli","socrew115",1
"testeli","socrew116",5
"testeli","socrew117",2
"testeli","socrew118",4
"testeli","socrew119",2
"testeli","socrew120",4
"testeli","socrew121",2
"testeli","socrew122",4
"testeli","socrew123",2
"testeli","socrew124",4
"testeli","socrew125",2
"testeli","socrew126",4
"testeli","socrew127",2
"testeli","socrew128",4
"testeli","socrew129",2
"testeli","socrew130",4
"testeli","socrew131",2
"testeli","socrew132",4
"testeli","socrew133",2
"testeli","socrew134",4
"testeli","socrew135",2
"testeli","socrew136",4
"testeli","socrew137",2
"testeli","socrew138",4
"testeli","socrew139",1
"testeli","socrew140",5
"testeli","socrew141",2
"testeli","socrew142",4
"testeli","socrew143",2
"testeli","socrew144",4
"testeli","socrew145",2
"testeli","socrew146",4
"testeli","socrew147",2
"testeli","socrew148",4
"testeli","socrew149",2
"testeli","socrew150",4
"testeli","socrew151",2
"testeli","socrew152",4
"testeli","socrew153",2
"testeli","socrew154",4
"testeli","socrew155",2
"testeli","socrew156",4
"testeli","socrew157",2
"testeli","socrew158",4
"testeli","socrew159",2
"testeli","socrew160",4
"testeli","socrew161",1
"testeli","socrew162",5
"testeli","socrew163",1
"testeli","socrew164",5
"testeli","socrew165",1
"testeli","socrew166",5
"testeli","socrew167",1
"testeli","socrew168",5
"testeli","socrew169",1
"testeli","socrew170",5
"testeli","socrew171",2
"testeli","socrew172",4
"testeli","socrew173",2
"testeli","socrew174",4
"testeli","socrew175",2
"testeli","socrew176",4
"testeli","socrew177",2
"testeli","socrew178",4
"testeli","socrew179",2
"testeli","socrew180",4
"testeli","socrew181",1
"testeli","socrew182",5
"testeli","socrew183",1
"testeli","socrew184",5
"testeli","socrew185",1
"testeli","socrew186",5
"testeli","socrew187",1
"testeli","socrew188",5
"testeli","socrew189",1
"testeli","socrew190",5
"testeli","socrew191",1
"testeli","socrew192",5
"testeli","socrew193",1
"testeli","socrew194",5
"testeli","socrew195",1
"testeli","socrew196",5
"testeli","socrew197",1
"testeli","socrew198",5
"testeli","socrew199",1
"testeli","socrew200",5
"testeli","socrew201",2
"testeli","socrew202",4
"testeli","socrew203",2
"testeli","socrew204",4
"testeli","socrew205",2
"testeli","socrew206",4
"testeli","socrew207",2
"testeli","socrew208",4
"testeli","socrew209",2
"testeli","socrew210",4
"testeli","socrew211",2
