"record_id","item","value"
"test_jm","socrew1","4"
"test_jm","socrew2","2"
"test_jm","socrew3","4"
"test_jm","socrew4","4"
"test_jm","socrew5","4"
"test_jm","socrew6","2"
"test_jm","socrew7","5"
"test_jm","socrew8","3"
"test_jm","socrew9","4"
"test_jm","socrew10","4"
"test_jm","socrew11","2"
"test_jm","socrew12","2"
"test_jm","socrew13","4"
"test_jm","socrew14","5"
"test_jm","socrew15","4"
"test_jm","socrew16","2"
"test_jm","socrew17","4"
"test_jm","socrew18","2"
"test_jm","socrew19","4"
"test_jm","socrew20","5"
"test_jm","socrew21","4"
"test_jm","socrew22","5"
"test_jm","socrew23","2"
"test_jm","socrew24","5"
"test_jm","socrew25","4"
"test_jm","socrew26","4"
"test_jm","socrew27","4"
"test_jm","socrew28","4"
"test_jm","socrew29","3"
"test_jm","socrew30","4"
"test_jm","socrew31","4"
"test_jm","socrew32","5"
"test_jm","socrew33","3"
"test_jm","socrew34","4"
"test_jm","socrew35","4"
"test_jm","socrew36","4"
"test_jm","socrew37","1"
"test_jm","socrew38","2"
"test_jm","socrew39","5"
"test_jm","socrew40","5"
"test_jm","socrew41","4"
"test_jm","socrew42","4"
"test_jm","socrew43","4"
"test_jm","socrew44","2"
"test_jm","socrew45","2"
"test_jm","socrew46","4"
"test_jm","socrew47","4"
"test_jm","socrew48","3"
"test_jm","socrew49","2"
"test_jm","socrew50","2"
"test_jm","socrew51","2"
"test_jm","socrew52","2"
"test_jm","socrew53","4"
"test_jm","socrew54","4"
"test_jm","socrew55","2"
"test_jm","socrew56","3"
"test_jm","socrew57","3"
"test_jm","socrew58","4"
"test_jm","socrew59","4"
"test_jm","socrew60","4"
"test_jm","socrew61","4"
"test_jm","socrew62","4"
"test_jm","socrew63","4"
"test_jm","socrew64","2"
"test_jm","socrew65","2"
"test_jm","socrew66","4"
"test_jm","socrew67","3"
"test_jm","socrew68","3"
"test_jm","socrew69","4"
"test_jm","socrew70","5"
"test_jm","socrew71","4"
"test_jm","socrew72","4"
"test_jm","socrew73","4"
"test_jm","socrew74","3"
"test_jm","socrew75","5"
"test_jm","socrew76","2"
"test_jm","socrew77","2"
"test_jm","socrew78","4"
"test_jm","socrew79","4"
"test_jm","socrew80","2"
"test_jm","socrew81","2"
"test_jm","socrew82","2"
"test_jm","socrew83","2"
"test_jm","socrew84","4"
"test_jm","socrew85","4"
"test_jm","socrew86","4"
"test_jm","socrew87","4"
"test_jm","socrew88","1"
"test_jm","socrew89","4"
"test_jm","socrew90","3"
"test_jm","socrew91","2"
"test_jm","socrew92","2"
"test_jm","socrew93","1"
"test_jm","socrew94","4"
"test_jm","socrew95","3"
"test_jm","socrew96","4"
"test_jm","socrew97","3"
"test_jm","socrew98","2"
"test_jm","socrew99","4"
"test_jm","socrew100","4"
"test_jm","socrew101","4"
"test_jm","socrew102","5"
