ItemNumber,Item_neg,Item_pos,Block,ITI0,ISI0,ITI,ISI
1, not an animal lover, an animal lover,1,2.225982799,2.07696656,1.156,4.0015
2, not superstitious, superstitious,1,3.98542573,3.39866865,0.96831,2.6719
3, don't like jazz, like jazz,1,5.675675897,2.59924637,2.0634,2.3704
4, don't like short stories, like short stories,1,2.182871469,2.01304355,4.6207,3.5144
5, not a feminist, a feminist,1,3.718974724,5.28319978,3.8971,2.0334
6, don't like mysteries, like mysteries,1,3.252215006,2.06785812,2.2882,3.6878
7, don't like napping, like napping,1,2.457888026,2.83304288,2.0961,2.5479
8, don't like meditating, like meditating,1,2.970020153,2.58073647,2.1972,4.0835
9, don't like yoga, like yoga,1,3.23367388,4.6686372,2.8986,4.9934
10, don't like reading, like reading,1,4.308272906,4.43948955,1.4029,2.5631
11, don't speak Spanish, speak Spanish,1,4.967870293,2.67061368,2.5677,2.6378
12, don't like scrap booking, like scrap booking,1,5.244922356,2.94294743,4.5966,3.7378
13, don't like chatting online, like chatting online,1,2.870611152,2.07569032,4.4662,2.8586
14, don't like painting, like painting,1,4.305171233,2.27396965,2.8072,4.5208
15, don't like French fries, like French fries,1,4.173527755,5.02618908,0.96613,2.9102
16, don't like ice skating, like ice skating,1,4.06008363,4.00998361,1.5804,3.8937
17, don't like social media, like social media,1,4.777588247,4.55358093,3.2188,2.5479
18, don't like cleaning, like cleaning,1,5.174677881,5.63903232,1.8156,5.2182
19, don't like non-fiction, like non-fiction,1,2.164815462,2.18493623,3.2502,5.9407
20, don't care about social justice, care about social justice,1,3.889526428,2.63915871,1.171,2.2412
21, don't like eating out, like eating out,1,2.908628186,2.59586552,2.6517,1.9802
22, don't like Halloween, like Halloween,1,5.710337904,4.53708523,3.9129,3.1382
23, don't like baking, like baking,1,3.15107181,2.8914405,1.1755,5.8364
24, don't like parties, like parties,1,3.410433175,3.54719571,1.3693,4.9934
25, don't like Social Studies, like Social Studies,2,4.558890328,4.1192037,2.3175,4.6358
26, don't like walks, like walks,2,2.59828545,2.70465329,2.5399,2.5665
27, don't like science fiction, like science fiction,2,2.379416585,4.23469258,1.1411,5.2958
28, don't like vacations, like vacations,2,4.216609905,5.2510385,1.8407,2.0429
29, not a reader, a reader,2,3.372509316,5.25844965,2.9304,5.2182
30, not loud, loud,2,3.491330831,4.03426325,4.6207,2.8586
31, not unique, unique,2,4.531162074,5.50292284,1.1098,2.0442
32, not disorganized, disorganized,2,3.094723491,2.1020608,3.7226,3.4158
33, don't like card games, like card games,2,3.106839527,2.18326427,1.2889,4.4489
34, don't like broccoli, like broccoli,2,2.196150823,2.37126377,2.2773,4.7147
35, don't like cartoons, like cartoons,2,5.097781637,2.77091905,3.9129,3.7156
36, don't like volunteering, like volunteering,2,3.820197331,5.69189423,4.7647,5.2257
37, don't like dogs, like dogs,2,2.37376117,3.15125435,1.7213,2.7585
38, don't like jigsaw puzzles, like jigsaw puzzles,2,5.082166592,5.91210767,1.3244,2.8002
39, not weird, weird,2,2.211120711,2.85974911,3.1185,2.5272
40, don't like concerts, like concerts,2,3.70670778,3.27894391,4.0271,2.9919
41, not nerdy, nerdy,2,3.897860809,3.74844444,1.8672,2.8435
