ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
82.0,Like classical music,1,0,1.156,4.0015,[3 0 1 2],Shiloh,HighReward_DisPeer,3
43.0,Like gardening,1,2,0.96831,2.6719,,Computer,HighReward_SimPeer,5
70.0,Like road trips,1,2,2.0634,2.3704,,Charlie,HighReward_SimPeer,5
42.0,Can whistle,0,1,4.6207,3.5144,,,LowReward_Computer,1
96.0,Like history,1,1,3.8971,2.0334,,,HighReward_Computer,4
160.0,Don't like poetry,1,2,2.2882,3.6878,,,HighReward_SimPeer,5
83.0,Like legos,1,1,2.0961,2.5479,,,HighReward_Computer,4
27.0,Like science fiction,1,0,2.1972,4.0835,,,HighReward_DisPeer,3
80.0,In a book club,1,2,2.8986,4.9934,,,HighReward_SimPeer,5
104.0,Like barbeques,0,0,1.4029,2.5631,,,LowReward_DisPeer,0
73.0,Like being with friends,0,0,2.5677,2.6378,,,LowReward_DisPeer,0
128.0,Don't like gym class,0,0,4.5966,3.7378,,,LowReward_DisPeer,0
32.0,Disorganized,0,2,4.4662,2.8586,,,LowReward_SimPeer,2
74.0,Like picnics,0,1,2.8072,4.5208,,,LowReward_Computer,1
1.0,Not an animal lover,1,1,0.9661299999999999,2.9102,,,HighReward_Computer,4
64.0,Don’t like young adult lit,0,1,1.5804,3.8937,,,LowReward_Computer,1
203.0,Confident,1,2,3.2188,2.5479,,,HighReward_SimPeer,5
144.0,Like photography,0,0,1.8156,5.2182,,,LowReward_DisPeer,0
191.0,Like ballet,0,2,3.2502,5.9407,,,LowReward_SimPeer,2
50.0,Like Starbucks,0,0,1.171,2.2412,,,LowReward_DisPeer,0
106.0,Don't like homework,1,2,2.6517,1.9802,,,HighReward_SimPeer,5
24.0,Like parties,1,1,3.9129,3.1382,,,HighReward_Computer,4
95.0,Don't like summer camp,0,0,1.1755,5.8364,,,LowReward_DisPeer,0
65.0,Like watching sunsets,0,1,1.3693,4.9934,,,LowReward_Computer,1
175.0,Like keeping a journal,0,1,2.3175,4.6358,,,LowReward_Computer,1
18.0,Like cleaning,1,2,2.5399,2.5665,,,HighReward_SimPeer,5
19.0,Like non-fiction,0,0,1.1411,5.2958,,,LowReward_DisPeer,0
71.0,Don't like Netflix,0,2,1.8407,2.0429,,,LowReward_SimPeer,2
190.0,Don't like doing splits,0,1,2.9304,5.2182,,,LowReward_Computer,1
121.0,Like whistling,1,1,4.6207,2.8586,,,HighReward_Computer,4
111.0,Like being alone,1,2,1.1098,2.0442,,,HighReward_SimPeer,5
161.0,Like shopping online,0,0,3.7226,3.4158,,,LowReward_DisPeer,0
151.0,Know sign language,0,1,1.2889,4.4489,,,LowReward_Computer,1
143.0,Like dancing,0,2,2.2773,4.7147,,,LowReward_SimPeer,2
60.0,Not an artist,0,0,3.9129,3.7156,,,LowReward_DisPeer,0
7.0,Like napping,0,1,4.7647,5.2257,,,LowReward_Computer,1
138.0,A happy person,0,0,1.7213,2.7585,,,LowReward_DisPeer,0
177.0,Don't care about the environment,1,1,1.3244,2.8002,,,HighReward_Computer,4
77.0,Like cooking shows,1,1,3.1185,2.5272,,,HighReward_Computer,4
3.0,Don't like jazz,1,2,4.0271,2.9919,,,HighReward_SimPeer,5
147.0,Like texting,0,0,1.8672,2.8435,,,LowReward_DisPeer,0
173.0,An activist,1,1,1.5833,4.4067,,,HighReward_Computer,4
133.0,Like sneakers,1,2,1.2596,2.4096,,,HighReward_SimPeer,5
178.0,Not an actor,1,0,2.6258,2.2412,,,HighReward_DisPeer,3
109.0,Like travel,1,2,3.7226,5.9395,,,HighReward_SimPeer,5
120.0,Don't like coffee,1,2,1.1279,2.9102,,,HighReward_SimPeer,5
21.0,Like eating out,1,0,2.1787,3.3202,,,HighReward_DisPeer,3
150.0,Not a good student,0,0,2.6639999999999997,3.258,,,LowReward_DisPeer,0
199.0,Religious,0,2,1.7658,2.0659,,,LowReward_SimPeer,2
87.0,Like summer,0,0,3.7607,2.5799,,,LowReward_DisPeer,0
124.0,Like sleeping in,1,2,2.1057,3.5853,,,HighReward_SimPeer,5
54.0,Like video chatting,0,0,2.8345,5.4701,,,LowReward_DisPeer,0
29.0,Not a reader,0,0,1.0759,4.4067,,,LowReward_DisPeer,0
113.0,Don√ït like phone calls,1,1,2.0518,2.6064,,,HighReward_Computer,4
186.0,Shy,1,0,1.1561,4.2019,,,HighReward_DisPeer,3
198.0,Like magazines,1,2,4.1899,4.6338,,,HighReward_SimPeer,5
58.0,Like hiking,1,1,2.7652,2.1521,,,HighReward_Computer,4
145.0,Like bugs,0,0,2.1522,2.827,,,LowReward_DisPeer,0
142.0,Don't like singing,1,2,3.0051,5.6062,,,HighReward_SimPeer,5
189.0,Like beaches,1,2,2.0961,2.6064,,,HighReward_SimPeer,5
132.0,Like game streaming,1,2,1.9117,2.3385,,,HighReward_SimPeer,5
39.0,Not weird,1,0,2.8345,4.6885,,,HighReward_DisPeer,3
92.0,Like baseball,1,1,1.7280000000000002,4.5208,,,HighReward_Computer,4
185.0,Don't like funny movies,0,2,2.3554,2.0225,,,LowReward_SimPeer,2
131.0,Don't like animated films,1,1,4.1197,3.0518,,,HighReward_Computer,4
102.0,Don't like stand-up comedy,0,1,1.1633,2.1505,,,LowReward_Computer,1
135.0,Like thrift shopping,0,0,1.1279,4.2019,,,LowReward_DisPeer,0
103.0,Like philosophy,0,1,4.0428,3.9772,,,LowReward_Computer,1
176.0,Like comic books,0,1,2.8018,4.0015,,,LowReward_Computer,1
31.0,Not unique,0,1,2.2295,3.2258,,,LowReward_Computer,1
41.0,Not nerdy,1,2,3.1616,3.7522,,,HighReward_SimPeer,5
10.0,Don't like reading,0,0,3.2502,2.7743,,,LowReward_DisPeer,0
152.0,Like breakfast food,1,0,0.99611,3.1062,,,HighReward_DisPeer,3
63.0,Like watching TV,0,1,2.8428,2.0429,,,LowReward_Computer,1
116.0,Like sleepovers,1,2,2.0397,2.4076,,,HighReward_SimPeer,5
2.0,Superstitious,1,1,1.915,2.2057,,,HighReward_Computer,4
194.0,A vegan,1,1,2.6639999999999997,3.5144,,,HighReward_Computer,4
148.0,Like family,1,2,3.56,5.5052,,,HighReward_SimPeer,5
57.0,Like olives,0,0,1.8156,2.559,,,LowReward_DisPeer,0
140.0,Good at math,1,0,1.8224,2.3792,,,HighReward_DisPeer,3
81.0,Like action movies,0,0,4.4597,4.1097,,,LowReward_DisPeer,0
201.0,Don't have a job,1,2,1.8536,3.2673,,,HighReward_SimPeer,5
197.0,Funny,1,2,1.3003,5.6591,,,HighReward_SimPeer,5
209.0,Don't play video games,1,1,2.3554,4.1522,,,HighReward_Computer,4
98.0,Like writing poems,1,1,4.0077,1.9679,,,HighReward_Computer,4
127.0,Don't like daydreaming,0,0,1.4029,3.9772,,,LowReward_DisPeer,0
47.0,Like new people,0,1,3.2533,4.6866,,,LowReward_Computer,1
49.0,Like ice cream,1,2,3.0051,2.0693,,,HighReward_SimPeer,5
204.0,A vegetarian,0,2,2.9304,3.0482,,,LowReward_SimPeer,2
37.0,Like dogs,0,0,2.2871,2.6382,,,LowReward_DisPeer,0
110.0,Don't like volleyball,0,1,1.5433,4.6358,,,LowReward_Computer,1
149.0,Like celebrities,0,0,4.1899,5.2257,,,LowReward_DisPeer,0
20.0,Don't care about social justice,0,0,3.4154,5.0194,,,LowReward_DisPeer,0
9.0,Like yoga,0,2,2.1972,3.1496,,,LowReward_SimPeer,2
200.0,Don't like kids at school,1,2,1.3565,4.5043,,,HighReward_SimPeer,5
13.0,Like chatting online,0,1,2.2701,3.1185,,,LowReward_Computer,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
