ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
1, an animal lover,1,0,2.89574938,3.3001174,[3 2 0 1 4],Charlie,HighReward_DisPeer,3
5, a feminist,1,2,4.50954738,3.78498759,,Computer,HighReward_SimPeer,5
2, not superstitious,1,2,4.21660991,5.2510385,,Shiloh,HighReward_SimPeer,5
4, don't like short stories,0,1,2.96670213,4.11625244,,,LowReward_Computer,1
7, like napping,1,1,2.87744482,4.90631713,,,HighReward_Computer,4
8, like meditating,1,2,2.16481546,2.18493623,,,HighReward_SimPeer,5
21, like eating out,1,1,3.70670778,3.27894391,,,HighReward_Computer,4
11, don't speak Spanish,1,0,4.30827291,4.43948955,,,HighReward_DisPeer,3
22, like Halloween,1,2,4.17352776,2.59586552,,,HighReward_SimPeer,5
12, don't like scrap booking,0,0,5.17467788,5.63903232,,,LowReward_DisPeer,0
24, like parties,0,0,2.31457256,4.74747725,,,LowReward_DisPeer,0
26, like walks,0,0,3.68079601,2.44040091,,,LowReward_DisPeer,0
29, not a reader,0,2,2.41152071,3.72057725,,,LowReward_SimPeer,2
28, like vacations,0,1,2.97002015,2.58073647,,,LowReward_Computer,1
57, don't like olives,1,1,3.59487236,5.32863316,,,HighReward_Computer,4
34, like broccoli,0,1,4.06008363,4.53708523,,,LowReward_Computer,1
58, don't like hiking,1,2,3.10683953,2.18326427,,,HighReward_SimPeer,5
59, don't like riding my bike,0,0,4.30517123,2.27396965,,,LowReward_DisPeer,0
40, like concerts,0,2,3.25221501,2.94294743,,,LowReward_SimPeer,2
41, nerdy,0,0,2.59828545,2.70465329,,,LowReward_DisPeer,0
49, like ice cream,1,2,2.92222314,3.08456917,,,HighReward_SimPeer,5
50, like Starbucks,1,1,4.30517123,2.63915871,,,HighReward_Computer,4
61, like wearing PJs all day,0,0,4.96787029,4.55358093,,,LowReward_DisPeer,0
80, not in a book club,0,1,2.88925715,2.67102637,,,LowReward_Computer,1
85, like science class,1,0,2.18287147,2.01304355,,,HighReward_DisPeer,3
111, like being alone sometimes,0,1,4.77758825,2.8914405,,,LowReward_Computer,1
119, like to stay at home,1,2,3.09472349,2.1020608,,,HighReward_SimPeer,5
120, like coffee,1,1,2.2259827999999997,2.07696656,,,HighReward_Computer,4
96, don't like history,1,1,5.7103379,5.2510385,,,HighReward_Computer,4
98, don't like writing poems,1,2,5.675675900000001,2.59924637,,,HighReward_SimPeer,5
118, don't like writing stories,0,0,4.47041039,2.17051165,,,LowReward_DisPeer,0
126, like listening to music,1,0,2.02114927,3.17104138,,,HighReward_DisPeer,3
133, like sneakers,0,0,3.37250932,5.25844965,,,LowReward_DisPeer,0
134, like pop music,1,2,2.45788803,2.83304288,,,HighReward_SimPeer,5
135, like thrift shopping,1,2,3.23367388,4.6686372,,,HighReward_SimPeer,5
146, like the snow,1,1,5.7103379,4.53708523,,,HighReward_Computer,4
148, like my family,1,1,4.17352776,5.02618908,,,HighReward_Computer,4
149, like celebrities,0,0,2.97002015,2.27396965,,,LowReward_DisPeer,0
150, a good student,0,1,3.8622209,3.29080807,,,LowReward_Computer,1
121, don't like whistling,1,2,4.07462175,3.08097809,,,HighReward_SimPeer,5
152, like breakfast food,0,2,5.675675900000001,4.6686372,,,LowReward_SimPeer,2
122, don't like cooking,0,0,3.62274525,2.33254142,,,LowReward_DisPeer,0
123, don't like sushi,0,1,2.63538796,3.77058908,,,LowReward_Computer,1
161, like shopping online,0,0,3.14557806,4.18499017,,,LowReward_DisPeer,0
170, like cats,0,0,3.34321393,5.05217585,,,LowReward_DisPeer,0
125, don't like computer coding,0,2,2.78302938,4.72127217,,,LowReward_SimPeer,2
180, like my friends,1,2,2.82085991,2.26130179,,,HighReward_SimPeer,5
189, like the beach,0,1,3.88952643,2.63915871,,,LowReward_Computer,1
211, like candy,0,1,3.88952643,2.70465329,,,LowReward_Computer,1
6, like mysteries,1,2,3.16073762,3.13894615,,,HighReward_SimPeer,5
127, don't like daydreaming,0,0,2.21104358,2.40319659,,,LowReward_DisPeer,0
9, like yoga,0,2,2.35528871,2.44236417,,,LowReward_SimPeer,2
129, don't like knitting,0,1,3.23367388,5.02618908,,,LowReward_Computer,1
132, don't like video game livestreams,1,1,2.63828777,2.23847502,,,HighReward_Computer,4
136, don't like computer games,1,2,5.81972697,2.06623717,,,HighReward_SimPeer,5
14, like painting,0,0,2.02333141,2.61273908,,,LowReward_DisPeer,0
15, like French fries,0,1,3.25221501,2.06785812,,,LowReward_Computer,1
17, like social media,0,2,4.55889033,4.119203700000001,,,LowReward_SimPeer,2
