ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
119.0, don't like to stay at home,0,1,2.89574938,3.3001174,,Santiago,LowReward_Computer,1
35.0, like cartoons,1,1,4.50954738,3.78498759,,Computer,HighReward_Computer,4
52.0, don't like romance novels,0,0,4.21660991,5.2510385,,Vivian,LowReward_DisPeer,0
185.0, like funny movies,1,0,2.96670213,4.11625244,,,HighReward_DisPeer,3
178.0, not an actor,0,2,2.87744482,4.90631713,,,LowReward_SimPeer,2
163.0, like aquariums,1,2,2.16481546,2.18493623,,,HighReward_SimPeer,5
88.0, don't like playing piano,0,0,3.70670778,3.27894391,,,LowReward_DisPeer,0
133.0, don't like sneakers,0,2,4.30827291,4.43948955,,,LowReward_SimPeer,2
,,,,4.17352776,2.59586552,,,,
,,,,5.17467788,5.63903232,,,,
,,,,2.31457256,4.74747725,,,,
,,,,3.68079601,2.44040091,,,,
,,,,2.41152071,3.72057725,,,,
,,,,2.97002015,2.58073647,,,,
,,,,3.59487236,5.32863316,,,,
,,,,4.06008363,4.53708523,,,,
,,,,3.10683953,2.18326427,,,,
,,,,4.30517123,2.27396965,,,,
,,,,3.25221501,2.94294743,,,,
,,,,2.59828545,2.70465329,,,,
,,,,2.92222314,3.08456917,,,,
,,,,4.30517123,2.63915871,,,,
,,,,4.96787029,4.55358093,,,,
,,,,2.88925715,2.67102637,,,,
,,,,2.18287147,2.01304355,,,,
,,,,4.77758825,2.8914405,,,,
,,,,3.09472349,2.1020608,,,,
,,,,2.2259827999999997,2.07696656,,,,
,,,,5.7103379,5.2510385,,,,
,,,,5.675675900000001,2.59924637,,,,
,,,,4.47041039,2.17051165,,,,
,,,,2.02114927,3.17104138,,,,
,,,,3.37250932,5.25844965,,,,
,,,,2.45788803,2.83304288,,,,
,,,,3.23367388,4.6686372,,,,
,,,,5.7103379,4.53708523,,,,
,,,,4.17352776,5.02618908,,,,
,,,,2.97002015,2.27396965,,,,
,,,,3.8622209,3.29080807,,,,
,,,,4.07462175,3.08097809,,,,
,,,,5.675675900000001,4.6686372,,,,
,,,,3.62274525,2.33254142,,,,
,,,,2.63538796,3.77058908,,,,
,,,,3.14557806,4.18499017,,,,
,,,,3.34321393,5.05217585,,,,
,,,,2.78302938,4.72127217,,,,
,,,,2.82085991,2.26130179,,,,
,,,,3.88952643,2.63915871,,,,
,,,,3.88952643,2.70465329,,,,
,,,,3.16073762,3.13894615,,,,
,,,,2.21104358,2.40319659,,,,
,,,,2.35528871,2.44236417,,,,
,,,,3.23367388,5.02618908,,,,
,,,,2.63828777,2.23847502,,,,
,,,,5.81972697,2.06623717,,,,
,,,,2.02333141,2.61273908,,,,
,,,,3.25221501,2.06785812,,,,
,,,,4.55889033,4.119203700000001,,,,
,,,,2.90862819,4.23469258,,,,
,,,,2.87061115,2.07569032,,,,
,,,,5.17467788,3.54719571,,,,
,,,,2.13090185,2.7912828999999997,,,,
,,,,3.41043318,4.03426325,,,,
,,,,5.52117041,5.04715685,,,,
,,,,3.15107181,5.25844965,,,,
,,,,3.95359469,3.02473198,,,,
,,,,3.98542573,3.39866865,,,,
,,,,3.71897472,5.28319978,,,,
,,,,5.06270638,2.05526199,,,,
,,,,3.28456772,4.71938732,,,,
,,,,5.24492236,5.63903232,,,,
,,,,2.84837858,2.5917946,,,,
,,,,2.05113024,3.35300733,,,,
,,,,4.53116207,5.50292284,,,,
,,,,3.11839839,4.6665532999999995,,,,
,,,,5.65166483,3.44856076,,,,
,,,,5.09778164,2.77091905,,,,
,,,,2.19615082,2.37126377,,,,
,,,,4.95213315,5.9734947,,,,
,,,,3.82019733,5.69189423,,,,
,,,,2.87061115,2.18493623,,,,
,,,,4.61501288,2.56000528,,,,
,,,,5.24492236,2.94294743,,,,
,,,,3.33229666,2.97550552,,,,
,,,,2.77628335,4.14247651,,,,
,,,,2.37941659,4.23469258,,,,
,,,,2.37376117,3.15125435,,,,
,,,,3.3251220999999997,2.09864808,,,,
,,,,3.2072655,2.00073031,,,,
,,,,3.59675378,3.67911175,,,,
,,,,3.49133083,4.03426325,,,,
,,,,3.89786081,3.74844444,,,,
,,,,3.15107181,2.8914405,,,,
,,,,2.16481546,4.119203700000001,,,,
,,,,4.815747099999999,4.48172236,,,,
,,,,2.23052651,2.87625004,,,,
,,,,2.2259827999999997,2.83304288,,,,
,,,,2.18287147,4.43948955,,,,
,,,,4.06008363,4.00998361,,,,
,,,,4.96787029,2.67061368,,,,
,,,,3.98542573,2.58073647,,,,
,,,,2.21112071,2.85974911,,,,
,,,,2.4937386000000004,5.97226471,,,,
,,,,2.45788803,2.07569032,,,,
,,,,4.77758825,4.55358093,,,,
,,,,3.41043318,3.54719571,,,,
,,,,2.07344949,2.80712023,,,,
,,,,2.74641674,3.92646868,,,,
,,,,5.41466813,5.53797127,,,,
,,,,5.08216659,5.91210767,,,,
,,,,2.90862819,2.59586552,,,,
,,,,4.30827291,4.00998361,,,,
,,,,3.85682004,3.25862118,,,,
,,,,3.71897472,2.67061368,,,,
,,,,2.218327,3.18239803,,,,
,,,,2.42435333,2.92967945,,,,
,,,,3.34209727,2.46178537,,,,
,,,,2.34388672,5.86917418,,,,
,,,,4.27381241,2.41198462,,,,
,,,,5.51467427,3.61811304,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
