"record_id","item","value"
"SCN_101","socrew1","4"
"SCN_101","socrew2","2"
"SCN_101","socrew3","1"
"SCN_101","socrew4","4"
"SCN_101","socrew5","5"
"SCN_101","socrew6","5"
"SCN_101","socrew7","4"
"SCN_101","socrew8","4"
"SCN_101","socrew9","4"
"SCN_101","socrew10","2"
"SCN_101","socrew11","4"
"SCN_101","socrew12","1"
"SCN_101","socrew13","5"
"SCN_101","socrew14","5"
"SCN_101","socrew15","4"
"SCN_101","socrew16","2"
"SCN_101","socrew17","5"
"SCN_101","socrew18","4"
"SCN_101","socrew19","5"
"SCN_101","socrew20","5"
"SCN_101","socrew21","5"
"SCN_101","socrew22","5"
"SCN_101","socrew23","5"
"SCN_101","socrew24","5"
"SCN_101","socrew25","4"
"SCN_101","socrew26","4"
"SCN_101","socrew27","2"
"SCN_101","socrew28","5"
"SCN_101","socrew29","2"
"SCN_101","socrew30","5"
"SCN_101","socrew31","4"
"SCN_101","socrew32","5"
"SCN_101","socrew33","4"
"SCN_101","socrew34","1"
"SCN_101","socrew35","5"
"SCN_101","socrew36","4"
"SCN_101","socrew37","4"
"SCN_101","socrew38","2"
"SCN_101","socrew39","2"
"SCN_101","socrew40","5"
"SCN_101","socrew41","2"
"SCN_101","socrew42","5"
"SCN_101","socrew43","5"
"SCN_101","socrew44","1"
"SCN_101","socrew45","2"
"SCN_101","socrew46","4"
"SCN_101","socrew47","5"
"SCN_101","socrew48","1"
"SCN_101","socrew49","4"
"SCN_101","socrew50","5"
"SCN_101","socrew51","5"
"SCN_101","socrew52","5"
"SCN_101","socrew53","5"
"SCN_101","socrew54","5"
"SCN_101","socrew55","1"
"SCN_101","socrew56","5"
"SCN_101","socrew57","5"
"SCN_101","socrew58","4"
"SCN_101","socrew59","4"
"SCN_101","socrew60","5"
"SCN_101","socrew61","5"
"SCN_101","socrew62","4"
"SCN_101","socrew63","4"
"SCN_101","socrew64","5"
"SCN_101","socrew65","5"
"SCN_101","socrew66","5"
"SCN_101","socrew67","5"
"SCN_101","socrew68","5"
"SCN_101","socrew69","5"
"SCN_101","socrew70","5"
"SCN_101","socrew71","5"
"SCN_101","socrew72","5"
"SCN_101","socrew73","5"
"SCN_101","socrew74","5"
"SCN_101","socrew75","5"
"SCN_101","socrew76","5"
"SCN_101","socrew77","4"
"SCN_101","socrew78","5"
"SCN_101","socrew79","1"
"SCN_101","socrew80","2"
"SCN_101","socrew81","4"
"SCN_101","socrew82","2"
"SCN_101","socrew83","4"
"SCN_101","socrew84","4"
"SCN_101","socrew85","4"
"SCN_101","socrew86","4"
"SCN_101","socrew87","4"
"SCN_101","socrew88","5"
"SCN_101","socrew89","5"
"SCN_101","socrew90","1"
"SCN_101","socrew91","5"
"SCN_101","socrew92","1"
"SCN_101","socrew93","2"
"SCN_101","socrew94","5"
"SCN_101","socrew95","5"
"SCN_101","socrew96","5"
"SCN_101","socrew97","5"
"SCN_101","socrew98","4"
"SCN_101","socrew99","4"
"SCN_101","socrew100","5"
"SCN_101","socrew101","5"
"SCN_101","socrew102","2"
"SCN_101","socrew103","5"
"SCN_101","socrew104","2"
"SCN_101","socrew105","1"
"SCN_101","socrew106","1"
"SCN_101","socrew107","4"
"SCN_101","socrew108","5"
"SCN_101","socrew109","5"
"SCN_101","socrew110","1"
"SCN_101","socrew111","4"
"SCN_101","socrew112","1"
"SCN_101","socrew113","5"
"SCN_101","socrew114","1"
"SCN_101","socrew115","1"
"SCN_101","socrew116","5"
"SCN_101","socrew117","5"
"SCN_101","socrew118","5"
"SCN_101","socrew119","5"
"SCN_101","socrew120","5"
"SCN_101","socrew121","4"
"SCN_101","socrew122","5"
"SCN_101","socrew123","4"
"SCN_101","socrew124","5"
"SCN_101","socrew125","1"
"SCN_101","socrew126","5"
"SCN_101","socrew127","5"
"SCN_101","socrew128","5"
"SCN_101","socrew129","1"
"SCN_101","socrew130","4"
"SCN_101","socrew131","5"
"SCN_101","socrew132","1"
"SCN_101","socrew133","4"
"SCN_101","socrew134","4"
"SCN_101","socrew135","5"
"SCN_101","socrew136","2"
"SCN_101","socrew137","2"
"SCN_101","socrew138","5"
"SCN_101","socrew139","5"
"SCN_101","socrew140","4"
"SCN_101","socrew141","1"
"SCN_101","socrew142","5"
"SCN_101","socrew143","4"
"SCN_101","socrew144","4"
"SCN_101","socrew145","2"
"SCN_101","socrew146","5"
"SCN_101","socrew147","5"
"SCN_101","socrew148","5"
"SCN_101","socrew149","5"
"SCN_101","socrew150","5"
"SCN_101","socrew151","1"
"SCN_101","socrew152","4"
"SCN_101","socrew153","5"
"SCN_101","socrew154","5"
"SCN_101","socrew155","4"
"SCN_101","socrew156","5"
"SCN_101","socrew157","5"
"SCN_101","socrew158","5"
"SCN_101","socrew159","5"
"SCN_101","socrew160","2"
"SCN_101","socrew161","5"
"SCN_101","socrew162","4"
"SCN_101","socrew163","4"
"SCN_101","socrew164","5"
"SCN_101","socrew165","5"
"SCN_101","socrew166","4"
"SCN_101","socrew167","5"
"SCN_101","socrew168","1"
"SCN_101","socrew169","4"
"SCN_101","socrew170","5"
"SCN_101","socrew171","1"
"SCN_101","socrew172","5"
"SCN_101","socrew173","5"
"SCN_101","socrew174","2"
"SCN_101","socrew175","4"
"SCN_101","socrew176","5"
"SCN_101","socrew177","4"
"SCN_101","socrew178","5"
"SCN_101","socrew179","5"
"SCN_101","socrew180","5"
"SCN_101","socrew181","5"
"SCN_101","socrew182","5"
"SCN_101","socrew183","4"
"SCN_101","socrew184","5"
"SCN_101","socrew185","5"
"SCN_101","socrew186","1"
"SCN_101","socrew187","4"
"SCN_101","socrew188","1"
"SCN_101","socrew189","4"
"SCN_101","socrew190","1"
"SCN_101","socrew191","1"
"SCN_101","socrew192","5"
"SCN_101","socrew193","4"
"SCN_101","socrew194","2"
"SCN_101","socrew195","4"
"SCN_101","socrew196","5"
"SCN_101","socrew197","5"
"SCN_101","socrew198","5"
"SCN_101","socrew199","4"
"SCN_101","socrew200","5"
"SCN_101","socrew201","1"
"SCN_101","socrew202","1"
"SCN_101","socrew203","4"
"SCN_101","socrew204","2"
"SCN_101","socrew205","4"
"SCN_101","socrew206","5"
"SCN_101","socrew207","1"
"SCN_101","socrew208","2"
"SCN_101","socrew209","2"
"SCN_101","socrew210","2"
"SCN_101","socrew211","5"
