"record_id","item","value"
"SCN_204","socrew1","4"
"SCN_204","socrew2","5"
"SCN_204","socrew3","2"
"SCN_204","socrew4","4"
"SCN_204","socrew5","4"
"SCN_204","socrew6","5"
"SCN_204","socrew7","4"
"SCN_204","socrew8","1"
"SCN_204","socrew9","4"
"SCN_204","socrew10","2"
"SCN_204","socrew11","1"
"SCN_204","socrew12","1"
"SCN_204","socrew13","5"
"SCN_204","socrew14","5"
"SCN_204","socrew15","4"
"SCN_204","socrew16","4"
"SCN_204","socrew17","5"
"SCN_204","socrew18","2"
"SCN_204","socrew19","2"
"SCN_204","socrew20","5"
"SCN_204","socrew21","4"
"SCN_204","socrew22","5"
"SCN_204","socrew23","5"
"SCN_204","socrew24","4"
"SCN_204","socrew25","2"
"SCN_204","socrew26","5"
"SCN_204","socrew27","2"
"SCN_204","socrew28","4"
"SCN_204","socrew29","2"
"SCN_204","socrew30","4"
"SCN_204","socrew31","4"
"SCN_204","socrew32","2"
"SCN_204","socrew33","5"
"SCN_204","socrew34","5"
"SCN_204","socrew35","1"
"SCN_204","socrew36","5"
"SCN_204","socrew37","4"
"SCN_204","socrew38","2"
"SCN_204","socrew39","4"
"SCN_204","socrew40","2"
"SCN_204","socrew41","2"
"SCN_204","socrew42","5"
"SCN_204","socrew43","2"
"SCN_204","socrew44","5"
"SCN_204","socrew45","1"
"SCN_204","socrew46","4"
"SCN_204","socrew47","2"
"SCN_204","socrew48","4"
"SCN_204","socrew49","5"
"SCN_204","socrew50","5"
"SCN_204","socrew51","4"
"SCN_204","socrew52","4"
"SCN_204","socrew53","2"
"SCN_204","socrew54","4"
"SCN_204","socrew55","2"
"SCN_204","socrew56","4"
"SCN_204","socrew57","1"
"SCN_204","socrew58","4"
"SCN_204","socrew59","5"
"SCN_204","socrew60","4"
"SCN_204","socrew61","2"
"SCN_204","socrew62","4"
"SCN_204","socrew63","2"
"SCN_204","socrew64","1"
"SCN_204","socrew65","4"
"SCN_204","socrew66","4"
"SCN_204","socrew67","5"
"SCN_204","socrew68","4"
"SCN_204","socrew69","4"
"SCN_204","socrew70","2"
"SCN_204","socrew71","4"
"SCN_204","socrew72","1"
"SCN_204","socrew73","5"
"SCN_204","socrew74","4"
"SCN_204","socrew75","5"
"SCN_204","socrew76","5"
"SCN_204","socrew77","2"
"SCN_204","socrew78","2"
"SCN_204","socrew79","4"
"SCN_204","socrew80","1"
"SCN_204","socrew81","2"
"SCN_204","socrew82","2"
"SCN_204","socrew83","2"
"SCN_204","socrew84","1"
"SCN_204","socrew85","2"
"SCN_204","socrew86","4"
"SCN_204","socrew87","5"
"SCN_204","socrew88","1"
"SCN_204","socrew89","4"
"SCN_204","socrew90","2"
"SCN_204","socrew91","4"
"SCN_204","socrew92","1"
"SCN_204","socrew93","2"
"SCN_204","socrew94","4"
"SCN_204","socrew95","4"
"SCN_204","socrew96","2"
"SCN_204","socrew97","4"
"SCN_204","socrew98","1"
"SCN_204","socrew99","4"
"SCN_204","socrew100","4"
"SCN_204","socrew101","5"
"SCN_204","socrew102","2"
"SCN_204","socrew103","4"
"SCN_204","socrew104","2"
"SCN_204","socrew105","4"
"SCN_204","socrew106","1"
"SCN_204","socrew107","2"
"SCN_204","socrew108","4"
"SCN_204","socrew109","5"
"SCN_204","socrew110","4"
"SCN_204","socrew111","5"
"SCN_204","socrew112","2"
"SCN_204","socrew113","4"
"SCN_204","socrew114","1"
"SCN_204","socrew115","1"
"SCN_204","socrew116","4"
"SCN_204","socrew117","4"
"SCN_204","socrew118","4"
"SCN_204","socrew119","2"
"SCN_204","socrew120","4"
"SCN_204","socrew121","4"
"SCN_204","socrew122","4"
"SCN_204","socrew123","2"
"SCN_204","socrew124","5"
"SCN_204","socrew125","1"
"SCN_204","socrew126","4"
"SCN_204","socrew127","5"
"SCN_204","socrew128","4"
"SCN_204","socrew129","5"
"SCN_204","socrew130","5"
"SCN_204","socrew131","4"
"SCN_204","socrew132","1"
"SCN_204","socrew133","2"
"SCN_204","socrew134","4"
"SCN_204","socrew135","4"
"SCN_204","socrew136","2"
"SCN_204","socrew137","4"
"SCN_204","socrew138","4"
"SCN_204","socrew139","1"
"SCN_204","socrew140","5"
"SCN_204","socrew141","4"
"SCN_204","socrew142","2"
"SCN_204","socrew143","4"
"SCN_204","socrew144","2"
"SCN_204","socrew145","2"
"SCN_204","socrew146","4"
"SCN_204","socrew147","5"
"SCN_204","socrew148","5"
"SCN_204","socrew149","4"
"SCN_204","socrew150","5"
"SCN_204","socrew151","1"
"SCN_204","socrew152","4"
