record_id,item,value
SCN_205,socrew1,5
SCN_205,socrew2,1
SCN_205,socrew3,2
SCN_205,socrew4,4
SCN_205,socrew5,1
SCN_205,socrew6,4
SCN_205,socrew7,4
SCN_205,socrew8,1
SCN_205,socrew9,1
SCN_205,socrew10,4
SCN_205,socrew11,2
SCN_205,socrew12,2
SCN_205,socrew13,4
SCN_205,socrew14,2
SCN_205,socrew15,5
SCN_205,socrew16,2
SCN_205,socrew17,4
SCN_205,socrew18,1
SCN_205,socrew19,5
SCN_205,socrew20,2
SCN_205,socrew21,5
SCN_205,socrew22,5
SCN_205,socrew23,4
SCN_205,socrew24,4
SCN_205,socrew25,1
SCN_205,socrew26,4
SCN_205,socrew27,4
SCN_205,socrew28,4
SCN_205,socrew29,4
SCN_205,socrew30,5
SCN_205,socrew31,4
SCN_205,socrew32,5
SCN_205,socrew33,5
SCN_205,socrew34,1
SCN_205,socrew35,5
SCN_205,socrew36,4
SCN_205,socrew37,5
SCN_205,socrew38,4
SCN_205,socrew39,5
SCN_205,socrew40,1
SCN_205,socrew41,4
SCN_205,socrew42,5
SCN_205,socrew43,2
SCN_205,socrew44,5
SCN_205,socrew45,2
SCN_205,socrew46,5
SCN_205,socrew47,5
SCN_205,socrew48,4
SCN_205,socrew49,4
SCN_205,socrew50,4
SCN_205,socrew51,4
SCN_205,socrew52,1
SCN_205,socrew53,5
SCN_205,socrew54,5
SCN_205,socrew55,5
SCN_205,socrew56,5
SCN_205,socrew57,4
SCN_205,socrew58,5
SCN_205,socrew59,NA
SCN_205,socrew60,1
SCN_205,socrew61,4
SCN_205,socrew62,5
SCN_205,socrew63,5
SCN_205,socrew64,2
SCN_205,socrew65,2
SCN_205,socrew66,5
SCN_205,socrew67,5
SCN_205,socrew68,2
SCN_205,socrew69,5
SCN_205,socrew70,5
SCN_205,socrew71,5
SCN_205,socrew72,1
SCN_205,socrew73,5
SCN_205,socrew74,5
SCN_205,socrew75,2
SCN_205,socrew76,4
SCN_205,socrew77,4
SCN_205,socrew78,5
SCN_205,socrew79,2
SCN_205,socrew80,1
SCN_205,socrew81,5
SCN_205,socrew82,5
SCN_205,socrew83,5
SCN_205,socrew84,5
SCN_205,socrew85,5
SCN_205,socrew86,4
SCN_205,socrew87,4
SCN_205,socrew88,2
SCN_205,socrew89,4
SCN_205,socrew90,5
SCN_205,socrew91,5
SCN_205,socrew92,5
SCN_205,socrew93,1
SCN_205,socrew94,5
SCN_205,socrew95,5
SCN_205,socrew96,1
SCN_205,socrew97,5
SCN_205,socrew98,1
SCN_205,socrew99,5
SCN_205,socrew100,5
SCN_205,socrew101,2
SCN_205,socrew102,5
SCN_205,socrew103,1
SCN_205,socrew104,4
SCN_205,socrew105,2
SCN_205,socrew106,4
SCN_205,socrew107,2
SCN_205,socrew108,5
SCN_205,socrew109,5
SCN_205,socrew110,1
SCN_205,socrew111,5
SCN_205,socrew112,5
SCN_205,socrew113,2
SCN_205,socrew114,5
SCN_205,socrew115,5
SCN_205,socrew116,5
SCN_205,socrew117,2
SCN_205,socrew118,1
SCN_205,socrew119,4
SCN_205,socrew120,2
SCN_205,socrew121,5
SCN_205,socrew122,5
SCN_205,socrew123,5
SCN_205,socrew124,5
SCN_205,socrew125,4
SCN_205,socrew126,5
SCN_205,socrew127,5
SCN_205,socrew128,5
SCN_205,socrew129,1
SCN_205,socrew130,5
SCN_205,socrew131,5
SCN_205,socrew132,5
SCN_205,socrew133,5
SCN_205,socrew134,4
SCN_205,socrew135,5
SCN_205,socrew136,5
SCN_205,socrew137,5
SCN_205,socrew138,4
SCN_205,socrew139,5
SCN_205,socrew140,5
SCN_205,socrew141,5
SCN_205,socrew142,2
SCN_205,socrew143,2
SCN_205,socrew144,2
SCN_205,socrew145,5
SCN_205,socrew146,5
SCN_205,socrew147,2
SCN_205,socrew148,5
SCN_205,socrew149,2
SCN_205,socrew150,5
SCN_205,socrew151,2
SCN_205,socrew152,5
SCN_205,socrew153,5
SCN_205,socrew154,2
SCN_205,socrew155,2
SCN_205,socrew156,5
SCN_205,socrew157,2
SCN_205,socrew158,5
SCN_205,socrew159,4
SCN_205,socrew160,1
SCN_205,socrew161,5
SCN_205,socrew162,5
SCN_205,socrew163,5
SCN_205,socrew164,5
SCN_205,socrew165,1
SCN_205,socrew166,1
SCN_205,socrew167,1
SCN_205,socrew168,4
SCN_205,socrew169,4
SCN_205,socrew170,2
SCN_205,socrew171,4
SCN_205,socrew172,5
SCN_205,socrew173,1
SCN_205,socrew174,2
SCN_205,socrew175,2
SCN_205,socrew176,5
SCN_205,socrew177,5
SCN_205,socrew178,2
SCN_205,socrew179,5
SCN_205,socrew180,5
SCN_205,socrew181,5
SCN_205,socrew182,2
SCN_205,socrew183,4
SCN_205,socrew184,2
SCN_205,socrew185,5
SCN_205,socrew186,2
SCN_205,socrew187,2
SCN_205,socrew188,2
SCN_205,socrew189,5
SCN_205,socrew190,2
SCN_205,socrew191,2
SCN_205,socrew192,5
SCN_205,socrew193,5
SCN_205,socrew194,1
SCN_205,socrew195,5
SCN_205,socrew196,5
SCN_205,socrew197,5
SCN_205,socrew198,5
SCN_205,socrew199,1
SCN_205,socrew200,5
SCN_205,socrew201,2
SCN_205,socrew202,5
SCN_205,socrew203,5
SCN_205,socrew204,1
SCN_205,socrew205,2
SCN_205,socrew206,5
SCN_205,socrew207,1
SCN_205,socrew208,5
SCN_205,socrew209,5
SCN_205,socrew210,1
SCN_205,socrew211,5
